"","m_name","m_director","m_actor","m_year","m_country","m_type","m_score","m_commit_count","m_detail_url"
"113","菊次郎的夏天","导演: 北野武 Takeshi Kitano","主演: 北野武 Takeshi Kitano / 关口雄介 Yus...","1999","日本","剧情 喜剧","8.9","508390","https://movie.douban.com/subject/1293359/"
"114","蝙蝠侠：黑暗骑士崛起","导演: 克里斯托弗·诺兰 Christopher Nolan","主演: 克里斯蒂安·贝尔 Christ...","2012","美国 英国","剧情 动作 科幻 犯罪 惊悚","8.8","622815","https://movie.douban.com/subject/3395373/"
"115","哈利·波特与阿兹卡班的囚徒","导演: Alfonso Cuarón","主演: 丹尼尔·雷德克里夫 Daniel Radcliffe / Emma...","2004","英国 美国","奇幻 冒险","8.9","582046","https://movie.douban.com/subject/1291544/"
"116","无人知晓","导演: 是枝裕和 Hirokazu Koreeda","主演: 柳乐优弥 Yûya Yagira / 北浦爱...","2004","日本","剧情","9.1","265780","https://movie.douban.com/subject/1292337/"
"117","消失的爱人","导演: 大卫·芬奇 David Fincher","主演: 本·阿弗莱克 Ben Affleck / 罗莎蒙...","2014","美国","剧情 犯罪 悬疑 惊悚","8.7","796905","https://movie.douban.com/subject/21318488/"
"118","小森林 冬春篇","导演: 森淳一 Junichi Mori","主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...","2015","日本","剧情","9.0","331177","https://movie.douban.com/subject/25814707/"
"119","侧耳倾听","导演: 近藤喜文 Yoshifumi Kondo","主演: 本名阳子 Youko Honna / 小林桂树 K...","1995","日本","剧情 爱情 动画","8.9","401497","https://movie.douban.com/subject/1297052/"
"120","爱在日落黄昏时","导演: 理查德·林克莱特 Richard Linklater","主演: 伊桑·霍克 Ethan Hawke ...","2004","美国 法国","剧情 爱情","8.9","462576","https://movie.douban.com/subject/1291990/"
"121","甜蜜蜜","导演: 陈可辛 Peter Chan","主演: 黎明 Leon Lai / 张曼玉 Maggie Cheung / ...","1996","中国香港","剧情 爱情","8.9","453527","https://movie.douban.com/subject/1305164/"
"122","完美的世界","导演: 克林特·伊斯特伍德 Clint Eastwood","主演: 凯文·科斯特纳 Kevin Cos...","1993","美国","剧情 犯罪","9.1","259166","https://movie.douban.com/subject/1300992/"
"123","倩女幽魂","导演: 程小东 Siu-Tung Ching","主演: 张国荣 Leslie Cheung / 王祖贤 Joey W...","1987","中国香港","爱情 奇幻 武侠 古装","8.8","641621","https://movie.douban.com/subject/1297447/"
"124","超能陆战队","导演: 唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams","主演: 斯科特...","2014","美国","喜剧 动作 科幻 动画 冒险","8.7","879255","https://movie.douban.com/subject/11026735/"
